118	386	839
102	435	1034
87	372	1034
102	250	583
102	195	569
102	170	319
102	151	286
102	123	322
102	108	280
102	104	161
156	424	1013
87	403	1191
164	424	923
158	296	759
142	225	393
142	203	313
115	397	1042
104	243	573
104	204	573
104	179	290
142	442	923
156	310	566
156	221	343
155	193	285
155	179	264
155	173	213
114	415	1122
114	278	772
114	199	436
114	181	400
114	144	188
114	140	191
114	131	174
114	136	321
114	123	156
110	127	321
103	121	191
103	115	167
103	113	133
103	109	161
103	108	141
100	107	207
100	103	114
100	103	114
100	111	298
100	102	103
100	102	114
96	107	190
96	101	103
96	113	298
96	105	280
96	98	120
96	103	298
96	112	298
96	98	139
96	103	298
96	96	100
96	98	138
96	100	181
96	98	181
96	96	96
96	106	181
96	96	96
96	97	139
96	100	139
96	96	96
96	98	139
96	96	102
96	96	96
96	103	181
96	114	298
96	96	96
96	97	121
96	97	138
96	102	298
96	105	298
96	96	120
96	96	121
96	97	138
96	96	121
96	98	181
96	97	139
96	96	120
96	96	96
96	96	102
96	96	96
96	97	138
110	419	1056
110	283	589
110	194	359
110	161	380
110	147	287
102	136	174
101	129	185
101	118	162
101	109	161
101	106	114
87	109	290
87	103	162
87	103	162
87	101	184
87	101	184
87	95	121
87	91	121
87	87	94
87	88	142
87	88	141
87	89	141
87	89	121
87	90	142
87	93	142
87	89	141
87	88	142
87	87	115
87	95	277
87	93	142
87	93	184
87	94	184
87	100	277
87	95	184
87	91	184
87	87	87
87	88	127
87	88	127
87	87	115
87	90	184
87	91	184
87	98	184
87	91	142
87	92	142
87	100	277
87	91	184
87	87	94
87	88	121
87	89	141
87	90	142
87	87	87
87	89	121
87	90	127
87	89	127
87	88	116
87	95	277
87	90	142
87	88	127
87	98	277
87	96	277
87	92	184
87	88	116
112	398	908
120	359	726
108	414	847
108	314	677
108	235	400
108	186	400
110	173	441
110	137	247
110	133	293
110	129	293
103	122	293
103	119	293
103	110	121
103	113	284
102	111	284
102	103	112
102	108	284
102	110	284
102	111	284
102	102	103
102	108	284
91	104	150
91	101	103
91	103	190
91	106	202
91	103	280
91	98	190
91	93	127
91	92	127
91	93	149
91	91	102
91	92	127
91	101	283
91	97	283
91	97	149
91	94	133
91	95	149
91	92	149
91	92	127
91	100	283
91	95	149
91	98	202
91	95	202
91	91	91
91	92	121
91	91	99
91	93	133
91	92	133
91	95	202
91	92	122
91	97	283
91	102	283
91	92	133
91	91	102
91	91	91
91	92	114
91	97	202
91	94	133
91	92	149
91	92	133
91	94	149
91	92	133
91	99	283
87	406	948
87	245	935
87	193	320
87	171	243
96	387	1015
120	291	664
110	258	658
110	194	488
100	170	488
96	150	342
96	148	358
96	139	358
96	119	154
96	107	143
96	99	131
96	99	131
96	101	181
96	96	102
96	97	138
96	100	181
96	96	125
96	98	138
96	99	138
96	98	138
96	96	121
96	99	138
96	99	138
96	100	181
96	97	138
96	98	139
96	97	121
96	98	131
96	97	121
96	100	138
96	99	139
96	100	131
96	97	120
96	97	138
96	98	125
96	98	138
96	100	181
96	98	139
96	101	139
96	98	131
96	103	181
96	100	138
96	98	139
96	99	181
96	102	298
96	99	138
96	108	298
96	100	181
96	97	121
96	103	298
96	96	100
96	96	96
96	97	138
96	99	139
96	99	131
96	102	298
96	96	100
96	96	125
96	97	138
96	97	131
96	98	139
96	97	121
96	98	181
96	96	125
96	98	131
96	100	139
96	103	298
96	97	138
96	98	138
96	97	139
96	96	96
96	97	138
96	96	120
96	98	139
96	97	121
96	101	181
96	96	102
96	96	100
96	96	96
96	99	138
96	96	120
96	107	298
96	106	181
96	100	125
96	103	298
96	97	121
96	101	138
96	96	121
96	98	138
96	98	181
96	97	131
96	97	139
96	96	121
96	97	125
96	98	138
96	97	120
96	99	125
96	99	138
96	99	181
96	99	181
96	98	139
96	99	131
96	98	125
96	96	102
96	96	125
96	97	120
96	99	139
96	99	138
96	102	181
96	96	120
96	97	120
96	96	100
96	96	96
96	102	298
96	103	298
96	97	120
96	96	96
96	104	298
96	109	298
96	97	120
96	96	96
96	97	120
96	97	131
96	96	120
96	97	125
96	109	298
96	100	151
96	101	139
96	108	298
96	103	298
96	97	125
96	97	131
96	97	120
96	98	139
96	96	120
96	96	120
96	98	131
96	100	139
96	97	138
96	99	139
96	97	139
96	96	96
96	96	102
96	96	96
96	96	102
96	96	96
96	100	181
96	104	181
96	100	144
96	104	298
96	100	181
96	96	120
96	97	138
96	96	96
96	97	131
96	96	102
96	104	298
96	97	131
96	97	120
96	96	96
96	100	139
96	97	125
96	98	138
96	96	120
96	96	96
96	106	298
96	100	139
96	105	298
96	101	181
96	106	298
96	97	121
96	103	298
96	99	139
96	96	125
96	105	298
96	96	120
96	103	298
96	96	100
96	96	96
96	105	298
96	101	181
96	98	139
96	96	102
96	104	298
96	105	298
96	105	298
